location,lat,lon,scalar,pop
Pokrovsk,48.2771086,37.1772482,15,61770
Kovel,51.2120538,24.708894,15,68240
Slavuta,50.2962398,26.8658254,7,35230
Bereznehuvate,47.308722,32.8486739,1,7446
Pokrovske,47.9847381,36.2247876,11,33134
Olenivka,45.3759948,32.5328457,84,1441
Mukachevo,48.4328264,22.7138078,23,85796
Yaremche,48.4781182,24.5808654,1,8044
Kozatske,46.7871971,33.3383614,1,3653
Dudchany,47.1881769,33.7807171,61,2043
Hola Prystan,46.5204065,32.5150712,59,13971
Blyznyuky,48.8566929,36.5443741,1,3603
Lyubotyn,49.9481394,35.9333323,1,20646
Malaya Rohan,49.9417495,36.4910928,22,2600
Chkalovske,49.7161547,36.9261256,23,3779
Chernihivka,47.189937,36.2150813,4,5721
Vilnyansk,47.9408934,35.4322675,2,14809
Yunakivka,51.122627,35.0361571,1,763
Bilopillya,51.1594721,34.31619,6,15981
Baturyn,51.3475098,32.8715015,2,2492
Narodychi,51.2025549,29.0763599,1,2867
Malyn,50.7687796,29.2621297,11,25831
Dubno,50.3989603,25.7621797,9,37464
Radekhiv,50.2842786,24.6308167,17,9750
Korostyshiv,50.3155797,29.0572633,1,24822
Niu-York,48.330086,37.8402102,1,10064
Stryi,49.2608342,23.8439837,5,59730
Kyinka,51.4617379,31.1981434,2,3653
Lazurne,46.0826952,32.5267945,1,3107
Verkhnii Rohachyk,47.2477262,34.3409195,1,5295
Ahaimany,46.6768543,34.2458323,1,1700
Mala Bilozerka,47.2672171,34.9138218,1,5717
Velyka Bilozerka,47.2757715,34.6902751,1,8339
Kamyanka-Dniprovska,47.4841903,34.4161079,1,12472
Velyka-Znamianka,47.4454922,34.3551963,1,8990
Mala Lepetykha,47.2357554,34.0059874,1,1809
Velyka Lepetykha,47.1676031,33.9342185,1,7958
Amvrosiivka,47.7995823,38.4824561,5,18090
Kumachove,47.6197307,38.2632048,1,543
Studenok,49.0954083,37.4728115,2,1435
Velyka Komyshuvakha,49.1093262,36.99526,3,882
Dovhenke,49.0187137,37.3195622,25,850
Khmilnyk,49.5544586,27.9438188,1,27398
Pokrov,47.6568548,34.078005,1,38570
Uhroidy,50.8646666,35.2650735,1,1837
Ripky,51.7996756,31.0820474,1,6923
